conta_contabil;uniorcam;saldo_atual_debito;saldo_atual_credito;especificacao;escrituracao;data_inicial;data_final;data_geracao;conferencia_externa;conferencia_saldo;conferencia_nivel;conferencia_natureza
2.1.1.1.1.05.03.10.00.00.00.000;0201;0,00;64.827,30;"TJRS PRECATORIO 198246-1 WANDERLEI KOCHHANN";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.1.1.05.03.11.00.00.00.000;0201;0,00;70.593,09;"TJRS PRECATORIO 198999-5 RENILDA MARIA DE VARGAS MATIELLI";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.1.1.05.03.12.00.00.00.000;0201;0,00;7.371,81;"TJRS PRECATORIO 193710-1 GILBERTO LUIS BAIOTTO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.0.00.00.00.00.00.00.000;0201;0,00;237.887,69;"ENCARGOS SOCIAIS A PAGAR";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.00.00.00.00.00.00.000;0201;0,00;202.651,27;"ENCARGOS SOCIAIS A PAGAR-INTRA OFSS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.01.00.00.00.00.00.000;0201;0,00;202.651,27;"CONTRIBUICAO A REGIME PROPRIO DE PREVIDENCIA (RPPS)";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.01.02.00.00.00.00.000;0201;0,00;201.118,34;"CONTRIBUICAO A REGIME PROPRIO DE PREVIDENCIA (RPPS) (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.01.02.00.00.00.00.000;1201;0,00;1.532,93;"CONTRIBUICAO A REGIME PROPRIO DE PREVIDENCIA (RPPS) (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.02.00.00.00.00.00.000;0201;0,00;0,00;"CONTRIBUICAO PREVIDENCIARIA - RPPS - DEBITOS PARCELADOS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.02.01.00.00.00.00.000;0201;0,00;0,00;"CONTRIBUICAO PREVIDENCIARIA - RPPS - DEBITOS PARCELADOS – PATRONAL – CIRCULANTE";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.02.01.01.00.00.00.000;0201;0,00;0,00;"PARCELAMENTO LEI1623/2005 360 PARCELAS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.02.01.01.01.00.00.000;0201;0,00;0,00;"PARCELAMENTO LEI1623/2005 360 PARCELAS (P)";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.2.02.01.01.02.00.00.000;0201;0,00;0,00;"PARCELAMENTO LEI1623/2005 360 PARCELAS (F)";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.00.00.00.00.00.00.000;0201;0,00;35.236,42;"ENCARGOS SOCIAIS A PAGAR-INTER OFSS - UNIAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.01.00.00.00.00.00.000;0201;0,00;35.236,42;"CONTRIBUICOES AO RGPS A PAGAR";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.01.01.00.00.00.00.000;0201;0,00;32.377,47;"CONTRIBUICOES AO RGPS SOBRE SALARIOS E REMUNERACOES";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.01.01.02.00.00.00.000;0201;0,00;32.377,47;"CONTRIBUICOES AO RGPS SOBRE SALARIOS E REMUNERACOES (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.01.03.00.00.00.00.000;0201;0,00;2.858,95;"CONTRIBUICOES AO RGPS - SERVICOS DE TERCEIROS OU CONTRIBUINTES AVULSOS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.01.03.02.00.00.00.000;0201;0,00;2.858,95;"CONTRIBUICOES AO RGPS - SERVICOS DE TERCEIROS OU CONTRIBUINTES AVULSOS (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.05.00.00.00.00.00.000;0201;0,00;0,00;FGTS;N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.4.3.05.02.00.00.00.00.000;0201;0,00;0,00;"FGTS (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDeContribuicaoAoFgtsIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.0.0.00.00.00.00.00.00.000;0201;0,00;187.015,51;"FORNECEDORES E CONTAS A PAGAR A CURTO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.0.00.00.00.00.00.00.000;0201;0,00;187.015,51;"FORNECEDORES E CONTAS A PAGAR NACIONAIS A CURTO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.00.00.00.00.00.00.000;0201;0,00;187.015,51;"FORNECEDORES E CONTAS A PAGAR NACIONAIS A CURTO PRAZO - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.00.00.00.00.00.000;0201;0,00;172.361,54;"FORNECEDORES NACIONAIS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.00.00.00.00.000;0201;0,00;172.361,54;"FORNECEDORES NAO PARCELADOS A PAGAR";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.01.00.00.00.000;0201;0,00;163.753,44;"FORNECEDORES DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.01.00.00.00.000;0201;0,00;5.208,10;"FORNECEDORES DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.01.00.00.00.000;1201;0,00;0,00;"FORNECEDORES DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.02.00.00.00.000;0201;0,00;3.400,00;"FORNECEDORES DE EXERCICIOS ANTERIORES";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.02.11.00.00.000;0201;0,00;540,00;"RESTOS A PAGAR PROCESSADOS DE 2018";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.02.12.00.00.000;0201;0,00;180,00;"RESTOS A PAGAR PROCESSADOS DE 2019";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.02.13.00.00.000;0201;0,00;2.680,00;"RESTOS A PAGAR PROCESSADOS DE 2020";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.01.01.02.13.00.00.000;0201;0,00;0,00;"RESTOS A PAGAR PROCESSADOS DE 2020";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.08.00.00.00.00.00.000;0201;0,00;14.653,97;"PRECATORIOS DE CONTAS A PAGAR - CREDORES NACIONAIS - REGIME ORDINARIO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.3.1.1.08.03.01.00.00.00.000;0201;0,00;14.653,97;"TJRS PRECATORIO 193918-0 JORGE ARESI";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.4.0.0.00.00.00.00.00.00.000;0201;0,00;16.000,61;"OBRIGACOES FISCAIS A CURTO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.4.1.0.00.00.00.00.00.00.000;0201;0,00;16.000,61;"OBRIGACOES FISCAIS A CURTO PRAZO COM A UNIAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.4.1.3.00.00.00.00.00.00.000;0201;0,00;16.000,61;"OBRIGACOES FISCAIS A CURTO PRAZO COM A UNIAO - INTER OFSS - UNIAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.4.1.3.11.00.00.00.00.00.000;0201;0,00;16.000,61;"PIS/PASEP A RECOLHER";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.4.1.3.11.01.00.00.00.00.000;0201;0,00;0,00;"PIS/PASEP A RECOLHER (P)";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.4.1.3.11.02.00.00.00.00.000;0201;0,00;16.000,61;"PIS/PASEP A RECOLHER (F)";S;2021-01-01;2021-03-31;2021-04-22;;testSaldoFinalDePasepAPagarIgualAoSaldoLiquidadoAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.5.0.0.00.00.00.00.00.00.000;0201;0,00;0,00;"TRANSFERENCIAS FISCAIS A CURTO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.5.0.4.00.00.00.00.00.00.000;0201;0,00;0,00;"OBRIGACOES DE REPARTICAO A OUTROS ENTES - INTER OFSS - ESTADO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.5.0.4.01.00.00.00.00.00.000;0201;0,00;0,00;"FUNDEB a Reter das Transferencias Constitucionais e Legais";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.5.0.4.01.01.00.00.00.00.000;0201;0,00;0,00;"FUNDEB a Reter das Transferencias Uniao";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.5.0.4.01.01.01.00.00.00.000;0201;0,00;0,00;"FUNDEB a Reter de Origem no FPM";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.0.0.00.00.00.00.00.00.000;0201;0,00;1.271.577,60;"DEMAIS OBRIGACOES A CURTO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.0.00.00.00.00.00.00.000;0201;0,00;98.011,37;"VALORES RESTITUIVEIS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.00.00.00.00.00.00.000;0201;0,00;18.220,80;"VALORES RESTITUIVEIS - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.00.00.00.00.00.000;0201;0,00;18.220,80;CONSIGNACOES;N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.02.00.00.00.00.000;0201;0,00;18.220,80;"CONTRIBUICAO AO RGPS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.02.01.00.00.00.000;0201;0,00;0,00;"RETENCOES PREVIDENCIARIAS (INSS) - PJ";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.02.04.00.00.00.000;0201;0,00;18.220,80;"RETENCOES PREVIDENCIARIAS (INSS) - FOLHA";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.02.12.00.00.00.000;0201;0,00;0,00;"RETENCAO INSS RV1203 PAV. URB. SICONV CONVENIO 847175/17";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.10.00.00.00.00.000;0201;0,00;0,00;"PENSAO ALIMENTICIA";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.13.00.00.00.00.000;0201;0,00;0,00;"RETENCOES - ENTIDADES REPRESENTATIVAS DE CLASSES";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.1.01.15.00.00.00.00.000;0201;0,00;0,00;"RETENCOES - EMPRESTIMOS E FINANCIAMENTOS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.2.00.00.00.00.00.00.000;0201;0,00;79.577,60;"VALORES RESTITUIVEIS – INTRA OFSS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.2.01.00.00.00.00.00.000;0201;0,00;79.577,60;CONSIGNACOES;N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.2.01.01.00.00.00.00.000;0201;0,00;79.577,60;"RPPS - RETENCOES SOBRE VENCIMENTOS E VANTAGENS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.2.01.01.01.00.00.00.000;0201;0,00;79.577,60;"RETENCOES PREVIDENCIARIAS (FPSM) - FOLHA";S;2021-01-01;2021-03-31;2021-04-22;;testContribuicaoDoServidorAReceber;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.3.00.00.00.00.00.00.000;0201;0,00;212,97;"VALORES RESTITUIVEIS - INTER UNIAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.3.01.00.00.00.00.00.000;0201;0,00;212,97;CONSIGNACOES;N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.3.01.04.00.00.00.00.000;0201;0,00;212,97;"IMPOSTO SOBRE A RENDA RETIDO NA FONTE - IRRF";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.3.01.04.01.00.00.00.000;0201;0,00;212,97;"IRRF SERVICOS PJ 1708-06 EXECUTIVO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.8.3.01.04.03.00.00.00.000;0201;0,00;0,00;"IRRF COOP ASSOC 3280-06";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.9.0.00.00.00.00.00.00.000;0201;0,00;1.173.566,23;"OUTRAS OBRIGACOES A CURTO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.9.1.00.00.00.00.00.00.000;0201;0,00;0,00;"OUTRAS OBRIGACOES A CURTO PRAZO - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.9.1.03.00.00.00.00.00.000;0201;0,00;0,00;"SUPRIMENTOS DE FUNDOS A PAGAR";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.9.2.00.00.00.00.00.00.000;0201;0,00;1.173.566,23;"OUTRAS OBRIGACOES A CURTO PRAZO - INTRA OFSS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.8.9.2.02.00.00.00.00.00.000;0201;0,00;1.173.566,23;"DUODECIMO A TRANSFERIR PARA O LEGISLATIVO - INTRA-OFSS";S;2021-01-01;2021-03-31;2021-04-22;;testDuodecimoAReceberEAPagar;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.0.0.0.00.00.00.00.00.00.000;0201;0,00;31.995.625,64;"PASSIVO NAO-CIRCULANTE";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.0.0.00.00.00.00.00.00.000;0201;0,00;2.012.573,00;"OBRIGACOES TRABALHISTAS, PREVIDENCIARIAS E ASSISTENCIAIS A PAGAR A LONGO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.1.0.00.00.00.00.00.00.000;0201;0,00;33.248,62;"PESSOAL A PAGAR";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.1.1.00.00.00.00.00.00.000;0201;0,00;33.248,62;"PESSOAL A PAGAR - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.1.1.04.00.00.00.00.00.000;0201;0,00;33.248,62;"PRECATORIOS DE PESSOAL - REGIME ORDINARIO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.1.1.04.03.00.00.00.00.000;0201;0,00;33.248,62;"PRECATORIOS DE PESSOAL - REGIME ORDINARIO - A PARTIR DE 05/05/2000 - NAO VENCIDOS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.1.1.04.03.10.00.00.00.000;0201;0,00;33.248,62;"TRT4 PRECAT 0001738-89.2020.5.04.0000 PEDRO ALEX DE LIMA";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.4.0.00.00.00.00.00.00.000;0201;0,00;1.979.324,38;"ENCARGOS SOCIAIS A PAGAR";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.4.2.00.00.00.00.00.00.000;0201;0,00;1.979.324,38;"ENCARGOS SOCIAIS A PAGAR-INTRA OFSS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.1.4.2.01.00.00.00.00.00.000;0201;0,00;1.979.324,38;"CONTRIBUICAO A REGIME PROPRIO DE PREVIDENCIA (RPPS)";S;2021-01-01;2021-03-31;2021-04-22;;testParcelamentoDaDividaPrevidenciariaNoLongoPrazo;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.0.0.00.00.00.00.00.00.000;0201;0,00;29.983.052,64;"PROVISOES A LONGO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.1.0.00.00.00.00.00.00.000;0201;0,00;1.165.497,36;"PROVISAO PARA RISCOS TRABALHISTAS A LONGO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.1.1.00.00.00.00.00.00.000;0201;0,00;1.165.497,36;"PROVISAO PARA RISCOS TRABALHISTAS A LONGO PRAZO - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.1.1.01.00.00.00.00.00.000;0201;0,00;1.165.497,36;"PROVISAO PARA INDENIZACOES TRABALHISTAS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.1.1.01.02.00.00.00.00.000;0201;0,00;1.165.497,36;"ANDREIA MORELLI SCHONHOFFEN TJRS 074/1.06.0001496-8";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.0.00.00.00.00.00.00.000;0201;0,00;28.817.555,28;"PROVISOES MATEMATICAS PREVIDENCIARIAS A LONGO PRAZO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.00.00.00.00.00.00.000;0201;0,00;28.817.555,28;"PROVISOES MATEMATICAS PREVIDENCIARIAS A LONGO PRAZO - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.00.00.00.00.00.000;0201;0,00;26.506.958,12;"PLANO PREVIDENCIARIO - PROVISOES DE BENEFICIOS CONCEDIDOS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.01.00.00.00.00.000;1201;0,00;29.487.962,35;"APOSENTADORIAS/PENSOES/OUTROS BENEFICIOS CONCEDIDOS DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.03.00.00.00.00.000;1201;327.087,63;0,00;"(-) CONTRIBUICOES DO APOSENTADO PARA O PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.03.05.00.00.00.00.000;1201;2.653.916,60;0,00;"(-) COMPENSACAO PREVIDENCIARIA DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.00.00.00.00.00.000;0201;0,00;37.941.439,90;"PLANO PREVIDENCIARIO - PROVISOES DE BENEFICIOS A CONCEDER";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.01.00.00.00.00.000;1201;0,00;62.683.912,51;"APOSENTADORIAS/PENSOES/OUTROS BENEFICIOS A CONCEDER DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.02.00.00.00.00.000;1201;9.550.460,24;0,00;"(-) CONTRIBUICOES DO ENTE PARA O PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.03.00.00.00.00.000;1201;9.550.460,24;0,00;"(-) CONTRIBUICOES DO ATIVO PARA O PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.04.04.00.00.00.00.000;1201;5.641.552,13;0,00;"(-) COMPENSACAO PREVIDENCIARIA DO PLANO PREVIDENCIARIO DO RPPS";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.05.00.00.00.00.00.000;0201;35.880.184,35;0,00;"PLANO PREVIDENCIARIO - PLANO DE AMORTIZACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.05.98.00.00.00.00.000;1201;35.880.184,35;0,00;"(-) OUTROS CREDITOS DO PLANO DE AMORTIZACAO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.07.00.00.00.00.00.000;0201;0,00;249.341,61;"PROVISOES ATUARIAIS PARA AJUSTES DO PLANO PREVIDENCIARIO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.2.7.2.1.07.01.00.00.00.00.000;1201;0,00;249.341,61;"AJUSTE DE RESULTADO ATUARIAL SUPERAVITARIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.0.0.0.00.00.00.00.00.00.000;0201;0,00;39.224.862,67;"PATRIMONIO LIQUIDO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.0.0.00.00.00.00.00.00.000;0201;0,00;39.224.862,67;"RESULTADOS ACUMULADOS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.0.00.00.00.00.00.00.000;0201;0,00;39.224.862,67;"SUPERAVITS OU DEFICITS ACUMULADOS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.00.00.00.00.00.00.000;0201;23.099.041,44;0,00;"SUPERAVITS OU DEFICITS ACUMULADOS - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.01.00.00.00.00.00.000;0201;0,00;0,00;"SUPERAVITS OU DEFICITS DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.01.00.00.00.00.00.000;1201;0,00;0,00;"SUPERAVITS OU DEFICITS DO EXERCICIO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.02.00.00.00.00.00.000;0201;43.120.317,34;0,00;"SUPERAVITS OU DEFICITS DE EXERCICIOS ANTERIORES";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.02.00.00.00.00.00.000;1201;0,00;20.017.743,22;"SUPERAVITS OU DEFICITS DE EXERCICIOS ANTERIORES";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.03.00.00.00.00.00.000;0201;0,00;3.532,68;"AJUSTES DE EXERCICIOS ANTERIORES";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.1.03.01.00.00.00.00.000;0201;0,00;3.532,68;"AJUSTES DE EXERCICIOS ANTERIORES - PERMANENTE";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.3.7.1.2.00.00.00.00.00.00.000;0201;0,00;0,00;"SUPERAVITS OU DEFICITS ACUMULADOS - INTRA OFSS";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
